FILE_NAME,STATES,INPUTS,LSTAR_rndWords_MQ_SYM,LSTAR_rndWords_MQ_RST,LSTAR_rndWords_EQ_SYM,LSTAR_rndWords_EQ_RST,LSTAR_rndWords_TOTAL_SYM,LSTAR_rndWords_TOTAL_RST,LSTAR_rndWords_EQs,LSTAR_rndWalk_MQ_SYM,LSTAR_rndWalk_MQ_RST,LSTAR_rndWalk_EQ_SYM,LSTAR_rndWalk_EQ_RST,LSTAR_rndWalk_TOTAL_SYM,LSTAR_rndWalk_TOTAL_RST,LSTAR_rndWalk_EQs,LSTAR_wp_MQ_SYM,LSTAR_wp_MQ_RST,LSTAR_wp_EQ_SYM,LSTAR_wp_EQ_RST,LSTAR_wp_TOTAL_SYM,LSTAR_wp_TOTAL_RST,LSTAR_wp_EQs,LIP_wp_rndWalk_MQ_SYM,LIP_wp_rndWalk_MQ_RST,LIP_wp_rndWalk_EQ_SYM,LIP_wp_rndWalk_EQ_RST,LIP_wp_rndWalk_TOTAL_SYM,LIP_wp_rndWalk_TOTAL_RST,LIP_wp_rndWalk_EQs,LIP_wp_rndWalk_COMPONENTS,LIP_wp_rndWalk_ROUNDS,LIP_wp_rndWords_MQ_SYM,LIP_wp_rndWords_MQ_RST,LIP_wp_rndWords_EQ_SYM,LIP_wp_rndWords_EQ_RST,LIP_wp_rndWords_TOTAL_SYM,LIP_wp_rndWords_TOTAL_RST,LIP_wp_rndWords_EQs,LIP_wp_rndWords_COMPONENTS,LIP_wp_rndWords_ROUNDS,LIP_rndWalk_rndWalk_MQ_SYM,LIP_rndWalk_rndWalk_MQ_RST,LIP_rndWalk_rndWalk_EQ_SYM,LIP_rndWalk_rndWalk_EQ_RST,LIP_rndWalk_rndWalk_TOTAL_SYM,LIP_rndWalk_rndWalk_TOTAL_RST,LIP_rndWalk_rndWalk_EQs,LIP_rndWalk_rndWalk_COMPONENTS,LIP_rndWalk_rndWalk_ROUNDS,LIP_rndWords_rndWords_MQ_SYM,LIP_rndWords_rndWords_MQ_RST,LIP_rndWords_rndWords_EQ_SYM,LIP_rndWords_rndWords_EQ_RST,LIP_rndWords_rndWords_TOTAL_SYM,LIP_rndWords_rndWords_TOTAL_RST,LIP_rndWords_rndWords_EQs,LIP_rndWords_rndWords_COMPONENTS,LIP_rndWords_rndWords_ROUNDS,LIP_wp_wp_MQ_SYM,LIP_wp_wp_MQ_RST,LIP_wp_wp_EQ_SYM,LIP_wp_wp_EQ_RST,LIP_wp_wp_TOTAL_SYM,LIP_wp_wp_TOTAL_RST,LIP_wp_wp_EQs,LIP_wp_wp_COMPONENTS,LIP_wp_wp_ROUNDS,CACHE,
"Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_1.txt","256","14","301070","50190","10000","100","311070","50290","1",,,,,,,,"301070","50190","33721887","4216024","34022957","4266214","1","445","162","33751082","4219887","33751527","4220049","30","6","9","445","162","33823623","4220321","33824068","4220483","30","6","9",,,,,,,,,,"847","206","92200","922","93047","1128","30","6","9",,,,,,,,,,"true","256"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_12.txt","288","20","859220","115220","10000","100","869220","115320","1",,,,,,,,"859220","115220","137896781","14753388","138756001","14868608","1","11540","2032","137939599","14757475","137951139","14759507","52","4","17","11540","2032","138083335","14758053","138094875","14760085","52","4","17",,,,,,,,,,"23771","2385","175000","1750","198771","4135","52","4","17",,,,,,,,,,"true","288"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_3.txt","288","20","672020","115220","10000","100","682020","115320","1",,,,,,,,"672020","115220","142645178","18261167","143317198","18376387","1","947","337","142689554","18266820","142690501","18267157","48","6","15","947","337","142815427","18267422","142816374","18267759","48","6","15",,,,,,,,,,"6065","536","154100","1541","160165","2077","48","6","15",,,,,,,,,,"true","288"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_8.txt","52","12","44940","7500","10000","100","54940","7600","1",,,,,,,,"44940","7500","3604566","455418","3649506","462918","1","14400","2639","3615296","455874","3629696","458513","32","2","11","14400","2639","3705378","456167","3719778","458806","32","2","11",,,,,,,,,,"21786","2957","112600","1126","134386","4083","32","2","11",,,,,,,,,,"true","52"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_20.txt","52","13","52741","8801","10000","100","62741","8901","1",,,,,,,,"52741","8801","4992617","622555","5045358","631356","1","5389","1104","5004142","623193","5009531","624297","33","3","11","5389","1104","5094460","623521","5099849","624625","33","3","11",,,,,,,,,,"12800","1401","112300","1123","125100","2524","33","3","11",,,,,,,,,,"true","52"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_2.txt","56","15","78315","12615","10000","100","88315","12715","1",,,,,,,,"78315","12615","9541078","1157014","9619393","1169629","1","2846","634","9556029","1157970","9558875","1158604","37","4","12","2846","634","9655123","1158351","9657969","1158985","37","4","12",,,,,,,,,,"17624","1149","123000","1230","140624","2379","37","4","12",,,,,,,,,,"true","56"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_4.txt","56","15","78315","12615","10000","100","88315","12715","1",,,,,,,,"78315","12615","7750353","972624","7828668","985239","1","2868","638","7915119","998773","7917987","999411","37","4","12","2868","638","8014286","999152","8017154","999790","37","4","12",,,,,,,,,,"17812","1174","123500","1235","141312","2409","37","4","12",,,,,,,,,,"true","56"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_9.txt","56","15","78315","12615","10000","100","88315","12715","1",,,,,,,,"78315","12615","9975575","1189437","10053890","1202052","1","2872","636","9990768","1190335","9993640","1190971","37","4","12","2872","636","10089208","1190737","10092080","1191373","37","4","12",,,,,,,,,,"13392","1086","122700","1227","136092","2313","37","4","12",,,,,,,,,,"true","56"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_4.txt","64","17","122553","18513","10000","100","132553","18613","1",,,,,,,,"122553","18513","14178503","1700019","14301056","1718532","1","3894","845","14193568","1700507","14197462","1701352","45","3","15","3894","845","14319211","1700844","14323105","1701689","45","3","15",,,,,,,,,,"18457","1474","154100","1541","172557","3015","45","3","15",,,,,,,,,,"true","64"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_18.txt","64","15","95415","14415","10000","100","105415","14515","1",,,,,,,,"95415","14415","10658156","1250356","10753571","1264771","1","3510","714","10670945","1250880","10674455","1251594","37","4","12","3510","714","10769738","1251272","10773248","1251986","37","4","12",,,,,,,,,,"18842","1268","123000","1230","141842","2498","37","4","12",,,,,,,,,,"true","64"
