,File_Name,states,inputs,components,lstar_total_sym_mean,lstar_total_sym_std,lip_total_sym_mean,lip_total_sym_std,total_sym_progress,total_sym_pvalue,lstar_total_reset_mean,lstar_total_reset_std,lip_total_reset_mean,lip_total_reset_std,total_reset_progress,total_reset_pvalue,lstar_mq_sym_mean,lstar_mq_sym_std,lip_mq_sym_mean,lip_mq_sym_std,mq_sym_progress,mq_sym_pvalue,lstar_mq_reset_mean,lstar_mq_reset_std,lip_mq_reset_mean,lip_mq_reset_std,mq_reset_progress,mq_reset_pvalue,lstar_eq_sym_mean,lstar_eq_sym_std,lip_eq_sym_mean,lip_eq_sym_std,eq_sym_progress,eq_sym_pvalue,lstar_eq_reset_mean,lstar_eq_reset_std,lip_eq_reset_mean,lip_eq_reset_std,eq_reset_progress,eq_reset_pvalue,lstar_eqs,lip_eqs
65,5wise_18.txt,48,11,7,,,2343961.0,172286.136,,,,,343345.5,25554.151,,,,,222.5,20.632,,,,,90.75,6.602,,,,,2343738.5,172284.448,,,,,343254.75,25553.306,,,,23.0
66,5wise_19.txt,432,21,16,,,261419743.75,20977402.053,,,,,32654326.5,2438433.873,,,,,1022.5,17.483,,,,,364.5,3.873,,,,,261418721.25,20977389.646,,,,,32653962.0,2438432.494,,,,51.0
67,5wise_2.txt,112,16,13,,,26895228.0,2330646.921,,,,,3062808.5,259209.967,,,,,7515.25,12.842,,,,,1476.0,1.414,,,,,26887712.75,2330646.455,,,,,3061332.5,259209.475,,,,40.0
68,5wise_20.txt,72,13,10,,,6732885.5,518542.841,,,,,932299.5,75353.001,,,,,975.75,13.426,,,,,302.75,3.775,,,,,6731909.75,518529.747,,,,,931996.75,75349.344,,,,31.0
69,5wise_3.txt,288,20,15,,,148488198.25,6513453.003,,,,,18908722.75,815611.403,,,,,943.0,20.897,,,,,340.0,10.198,,,,,148487255.25,6513445.46,,,,,18908382.75,815605.88,,,,48.0
70,5wise_5.txt,468,21,17,,,345694394.0,9612641.236,,,,,36957197.0,883059.032,,,,,5834.25,15.196,,,,,1249.5,7.937,,,,,345688559.75,9612642.505,,,,,36955947.5,883060.049,,,,53.0
71,5wise_6.txt,48,11,7,,,2492468.25,474.397,,,,,365312.25,111.338,,,,,218.0,12.463,,,,,88.0,4.546,,,,,2492250.25,463.327,,,,,365224.25,108.088,,,,23.0
72,5wise_7.txt,32,10,6,,,1093328.25,316.733,,,,,161240.0,70.271,,,,,148.0,6.583,,,,,63.25,2.986,,,,,1093180.25,322.684,,,,,161176.75,72.546,,,,20.0
73,5wise_8.txt,112,16,13,,,26067794.25,1352756.334,,,,,2989203.75,162758.267,,,,,7522.0,35.374,,,,,1477.25,7.89,,,,,26060272.25,1352764.267,,,,,2987726.5,162761.127,,,,40.0
74,5wise_9.txt,64,14,10,,,6981398.75,246984.78,,,,,987038.75,32261.832,,,,,624.25,12.764,,,,,222.75,3.948,,,,,6980774.5,246975.842,,,,,986816.0,32259.559,,,,32.0
75,6wise_1.txt,64,10,7,,,2378666.0,200459.692,,,,,332138.5,28533.267,,,,,312.0,9.416,,,,,113.75,3.5,,,,,2378354.0,200451.447,,,,,332024.75,28530.184,,,,22.0
